,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
44,30,2,721,2,1,2,4,3,0,58,3,2,8,4,2,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0
45,41,1,1360,2,12,3,2,2,0,49,3,5,0,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,1
46,34,0,1065,1,23,4,3,2,1,72,3,2,7,3,2,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0
47,37,1,408,2,19,2,5,2,1,73,3,1,6,2,1,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0
48,46,2,1211,1,5,4,3,1,1,98,3,2,7,4,2,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0
49,35,1,1229,2,8,1,5,4,1,36,4,1,8,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0
50,48,1,626,2,1,2,5,1,1,98,2,3,8,3,2,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,1
51,28,1,1434,2,5,4,2,3,1,50,3,1,8,3,2,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,1
52,44,1,1488,1,1,5,3,2,0,75,3,2,7,1,0,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0
53,35,0,1097,2,11,2,4,3,1,79,2,3,2,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0
54,26,1,1443,1,23,3,3,3,0,47,2,2,7,4,1,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0
55,33,2,515,2,1,2,5,1,0,98,3,3,0,4,2,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0
56,35,2,853,1,18,5,5,2,1,71,3,3,7,1,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0
57,35,1,1142,2,23,4,4,3,0,30,3,1,8,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0
58,31,1,655,2,7,4,5,4,1,48,3,2,8,4,0,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0
59,37,1,1115,2,1,4,5,1,1,51,2,2,3,3,0,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0
60,32,1,427,2,1,3,4,1,1,33,3,2,3,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0
61,38,2,653,2,29,5,5,4,0,50,3,2,8,4,2,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0
62,50,1,989,2,7,2,4,2,0,43,2,5,0,3,0,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0
63,59,1,1435,1,25,3,5,1,0,99,3,3,7,1,2,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0
64,36,1,1223,2,8,3,2,3,0,59,3,3,2,3,0,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0
65,55,1,836,2,8,3,4,4,0,33,3,4,1,3,0,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0
66,36,2,1195,2,11,3,5,2,1,95,2,2,3,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0
67,45,1,1339,2,7,3,5,2,1,59,3,3,6,1,0,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0
68,35,2,664,2,1,3,4,2,1,79,3,1,6,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0
69,36,1,318,2,9,3,4,4,1,79,2,1,6,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,1
70,59,2,1225,1,1,1,5,1,0,57,2,2,7,3,2,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0
71,29,1,1328,2,2,3,5,3,1,76,3,1,6,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0
72,31,1,1082,2,1,4,4,3,1,87,3,1,6,2,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0
73,32,1,548,2,1,3,5,2,1,66,3,2,6,2,1,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0
74,36,1,132,2,6,3,5,2,0,55,4,1,8,4,1,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0
75,31,1,746,2,8,4,5,3,0,61,3,2,3,4,2,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0
76,35,1,776,1,1,4,3,3,1,32,2,2,7,1,2,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0
77,45,1,193,2,6,4,1,4,1,52,3,3,0,1,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0
78,37,1,397,2,7,4,4,1,1,30,3,3,0,3,2,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0
79,46,1,945,0,5,2,4,2,1,80,3,2,4,2,0,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,0
80,30,1,852,2,1,1,5,4,1,55,2,2,8,4,1,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0
81,35,1,1214,2,1,3,4,2,1,30,2,1,6,3,2,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0
82,55,1,111,1,1,2,5,1,1,70,3,3,7,4,1,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0
83,38,0,573,2,6,3,4,2,0,79,1,2,6,4,0,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0
84,34,1,1153,2,1,2,4,1,1,94,3,2,3,2,1,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0
85,56,1,1400,2,7,3,5,4,1,49,1,3,3,4,2,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0
86,23,1,541,1,2,1,2,3,1,62,3,1,5,1,0,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0
87,51,1,432,2,9,4,5,4,1,96,3,1,8,4,1,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0
88,30,1,288,2,2,3,5,3,1,99,2,2,2,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0
89,46,1,669,1,9,2,4,3,1,64,2,3,7,4,2,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,1
90,40,2,530,2,1,4,5,3,1,78,2,4,2,2,1,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0
91,51,1,632,1,21,4,3,3,1,71,3,2,7,4,2,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0
92,30,1,1334,1,4,2,4,3,0,63,2,2,7,2,0,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0
93,46,2,638,2,1,3,4,3,1,40,2,3,2,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0
94,32,1,1093,1,6,4,4,2,1,87,3,2,7,3,2,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0
95,54,1,1217,2,2,4,2,1,0,60,3,3,0,3,1,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0
96,24,1,1353,1,3,2,1,1,0,33,3,2,7,3,1,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0
97,28,0,120,1,4,3,4,2,1,43,3,2,7,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0
98,58,1,682,1,10,4,4,4,1,37,3,4,7,3,2,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0
99,44,0,489,2,23,3,4,2,1,67,3,2,8,2,1,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,0
100,37,1,807,0,6,4,0,3,1,63,3,1,4,1,0,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,1
101,32,1,827,2,1,1,5,4,1,71,3,1,6,1,2,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0
102,20,2,871,2,6,3,5,4,0,66,2,1,8,4,2,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1
103,34,1,665,2,6,4,1,1,0,41,3,2,6,3,2,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0
104,37,0,1040,2,2,2,5,3,1,100,2,2,2,4,0,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0
105,59,0,1420,0,2,4,0,3,0,32,2,5,1,4,1,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,0
106,50,2,1115,2,1,3,5,1,0,73,3,5,0,2,1,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0
107,25,1,240,1,5,3,3,3,1,46,2,2,7,3,2,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,1
108,25,1,1280,2,7,1,4,4,1,64,2,1,6,4,1,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0
109,22,1,534,2,15,3,4,2,0,59,3,1,8,4,2,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0
110,51,2,1456,2,1,4,4,1,0,30,2,3,2,1,2,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0
111,34,2,658,2,7,3,5,1,1,66,1,2,8,3,2,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,1
112,54,0,142,0,26,3,0,4,0,30,4,4,1,4,2,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,0
113,24,1,1127,2,18,1,5,2,1,52,3,1,8,3,1,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0
114,34,1,1031,2,6,4,5,3,0,45,2,2,6,2,0,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0
115,37,1,1189,1,3,3,5,3,1,87,3,3,7,4,2,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0
116,34,1,1354,2,5,3,4,3,0,45,2,3,1,1,2,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0
117,36,2,1467,1,11,2,2,2,0,92,3,3,7,4,1,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0
118,36,1,922,2,3,2,5,1,0,39,3,1,8,4,0,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,0
119,43,2,394,1,26,2,5,3,1,92,3,4,1,4,1,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0
120,30,2,1312,2,23,3,5,1,1,96,1,1,6,3,0,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,0
121,33,0,750,1,22,2,3,3,1,95,3,2,7,2,1,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,0
122,56,1,441,2,14,4,5,2,0,72,3,1,6,2,1,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,1
123,51,1,684,2,6,3,5,1,1,51,3,5,0,3,2,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,0
124,31,1,249,1,6,4,5,2,1,76,1,2,7,3,1,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,1
125,26,1,841,2,6,3,1,3,0,46,2,1,6,2,1,2368,23300,1,0,19,3,3,0,5,3,2,5,4,4,3,0
126,58,1,147,2,23,4,4,4,0,94,3,3,2,4,1,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,1
127,19,1,528,1,22,1,3,4,1,50,3,1,5,3,2,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,1
128,22,1,594,2,2,1,2,3,1,100,3,1,8,4,1,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,0
129,49,1,470,2,20,4,4,3,0,96,3,2,3,1,1,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,0
130,43,2,957,2,28,3,4,2,0,72,4,1,6,3,2,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,0
131,50,2,809,1,12,3,3,3,0,77,3,3,7,4,2,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,0
132,31,1,542,1,20,3,5,2,0,71,1,2,7,3,1,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,1
133,41,1,802,1,9,1,5,3,1,96,3,3,7,3,0,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,0
134,26,1,1355,0,25,1,5,3,0,61,3,1,4,3,1,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,0
135,36,1,216,2,6,2,4,2,1,84,3,2,3,2,0,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,0
136,51,2,1150,2,8,4,5,1,1,53,1,3,3,4,2,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,1
137,39,1,1329,1,4,4,5,4,0,47,2,2,7,3,1,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,0
138,25,1,959,1,28,3,5,1,1,41,2,2,7,3,1,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,0
139,30,1,1240,0,9,3,0,3,1,48,3,2,4,4,1,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,0
140,32,1,1033,2,9,3,4,1,0,41,3,1,8,1,2,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,1
141,45,1,1316,2,29,3,4,3,1,83,3,1,6,4,2,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,0
142,38,1,364,2,3,5,2,4,0,32,3,2,6,3,2,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,0
143,30,1,438,2,18,3,5,1,0,75,3,1,6,3,2,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,0
144,32,2,689,1,9,2,4,4,1,35,1,2,7,4,0,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,0
145,30,1,201,2,5,3,2,4,0,84,3,1,6,1,0,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,0
146,30,1,1427,2,2,1,4,2,1,35,2,1,8,4,2,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,0
147,41,2,857,2,10,3,5,4,1,91,2,4,1,1,0,17181,12888,4,0,13,3,2,1,21,2,2,7,6,7,7,0
148,41,1,933,2,9,4,5,3,1,94,3,1,8,1,1,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,0
149,19,1,1181,2,3,1,4,2,0,79,3,1,8,2,2,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,0
150,40,2,1395,2,26,3,4,2,0,54,3,2,6,2,0,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,0
151,35,1,662,1,1,5,3,3,1,94,3,3,7,2,1,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,0
152,53,1,1436,1,6,2,3,2,1,34,3,2,5,3,1,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,0
153,45,1,194,2,9,3,5,2,1,60,3,2,8,2,0,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,0
154,32,2,967,1,8,3,3,2,0,43,3,3,7,4,2,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,0
155,29,0,1496,2,1,1,2,4,1,41,3,2,3,3,1,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,0
156,51,1,1169,2,7,4,4,2,1,34,2,2,3,3,1,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,0
157,58,1,1145,2,9,3,4,2,0,75,2,1,6,2,1,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,0
158,40,1,630,1,4,4,3,3,1,67,2,3,7,4,1,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,0
159,34,2,303,1,2,4,3,3,0,75,3,1,5,3,1,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,0
160,22,1,1256,2,19,1,4,3,1,80,3,1,6,4,1,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,0
161,27,0,691,2,9,3,4,4,1,57,3,1,6,2,0,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,0
162,28,1,440,2,21,3,4,3,1,42,3,1,6,4,1,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,0
163,57,1,334,2,24,2,5,3,1,83,4,3,2,4,0,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,0
164,27,0,1450,2,3,3,4,3,1,79,2,1,6,3,0,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,0
165,50,1,1452,2,11,3,5,3,0,53,3,5,1,2,2,19926,17053,3,0,15,3,2,0,21,5,3,5,4,4,4,0
166,41,1,465,2,14,3,5,1,1,56,3,1,6,3,0,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,0
167,30,1,1339,1,5,3,5,2,0,41,3,3,7,4,1,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,0
168,38,1,702,1,1,4,5,1,0,59,2,2,7,4,2,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,0
169,32,1,120,2,6,5,5,3,1,43,3,1,6,3,2,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0
170,27,1,1157,2,17,3,2,3,1,51,3,1,6,2,1,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,0
171,19,2,602,1,1,1,2,3,0,100,1,1,5,1,2,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0,1
172,36,2,1480,2,3,2,4,4,1,30,3,1,8,2,2,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,0
173,30,0,111,2,9,3,4,3,1,66,3,2,8,1,0,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,0
174,45,1,1268,1,4,2,5,3,0,30,3,2,7,1,0,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,0
175,56,1,713,2,8,3,5,3,0,67,3,1,6,1,0,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,0
176,33,1,134,2,2,3,5,3,1,90,3,1,6,4,2,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,0
177,19,1,303,2,2,3,5,2,1,47,2,1,8,4,2,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,1
178,46,1,526,1,1,2,3,2,0,92,3,3,7,1,0,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,0
179,38,1,1380,2,9,2,5,3,0,75,3,1,8,4,2,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,0
180,31,1,140,2,12,1,4,3,0,95,3,1,6,4,1,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,0
181,34,1,629,2,27,2,4,4,0,95,3,1,6,2,2,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,0
182,41,1,1356,1,20,2,3,2,0,70,3,1,5,2,2,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,1
183,50,1,328,2,1,3,4,3,1,86,2,1,8,3,1,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,0
184,53,1,1084,2,13,2,4,4,0,57,4,2,3,1,0,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,0
185,33,1,931,2,14,3,4,4,0,72,3,1,6,2,1,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,0
186,40,1,989,2,4,1,4,4,0,46,3,5,1,3,1,19033,6499,1,0,14,3,2,1,21,2,3,20,8,9,9,0
187,55,1,692,2,14,4,4,3,1,61,4,5,0,2,2,18722,13339,8,0,11,3,4,0,36,3,3,24,15,2,15,0
188,34,2,1069,2,2,1,5,4,1,45,2,2,3,3,1,9547,14074,1,0,17,3,3,0,10,2,2,10,9,1,9,0
189,51,1,313,2,3,3,4,4,0,98,3,4,2,2,2,13734,7192,3,0,18,3,3,0,21,6,3,7,7,1,0,0
190,52,1,699,2,1,4,5,3,1,65,2,5,1,3,1,19999,5678,0,0,14,3,1,1,34,5,3,33,18,11,9,0
191,27,1,894,2,9,3,4,4,0,99,3,1,6,2,2,2279,11781,1,0,16,3,4,0,7,2,2,7,7,0,3,0
192,35,1,556,2,23,2,5,2,1,50,2,2,3,3,1,5916,15497,3,1,13,3,1,0,8,1,3,1,0,0,1,1
193,43,0,1344,2,7,3,4,4,1,37,4,1,6,4,0,2089,5228,4,0,14,3,4,3,7,3,4,5,4,2,2,0
194,45,0,1195,2,2,2,4,1,1,65,2,4,1,4,1,16792,20462,9,0,23,4,4,1,22,1,3,20,8,11,8,0
195,37,1,290,2,21,3,5,2,1,65,4,1,6,1,1,3564,22977,1,1,12,3,1,1,8,3,2,8,7,1,7,0
196,35,2,138,2,2,3,4,2,0,37,3,2,8,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,0
197,42,0,926,2,21,2,4,3,0,36,3,2,3,3,0,5265,16439,2,0,16,3,2,1,11,5,3,5,3,0,2,0
198,38,1,1261,2,2,4,5,4,1,88,3,2,3,3,1,6553,7259,9,0,14,3,2,0,14,3,3,1,0,0,0,0
199,38,1,1084,2,29,3,2,4,1,54,3,2,3,4,1,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,0
200,27,2,472,2,1,1,2,3,1,60,2,2,3,1,1,4298,9679,5,0,19,3,3,1,6,1,3,2,2,2,0,0
201,49,0,1002,2,18,4,5,4,1,92,3,2,3,4,0,6804,23793,1,1,15,3,1,2,7,0,3,7,7,1,7,0
202,34,2,878,2,10,4,4,4,1,43,3,1,6,3,0,3815,5972,1,1,17,3,4,1,5,4,4,5,3,2,0,0
